original_title,The Eco-Innovation Scoreboard,,,,,,
original_indicator_code,,,,,,,
title_German,Technologische Innovationen im Klimasektor,,,,,,
sdg,13,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Innovationsentwicklung im Umweltbereich,,,,,,
short_indicator_description$en,Composite indicator of technological innovation in the environment sector,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$en$text,"The Eco-Innovation Scoreboard is a composite indicator to comprehensively assess and compare eco-innovation performance across EU Member States. The Eco-Innovation Scoreboard is an index based on indicators in five areas: eco-innovation inputs, eco-innovation activities, eco-innovation outputs, resource efficiency outcomes and socio-economic outcomes. In each of the areas points are awarded for innovative policy and practice. ",,,,,,
long_indicator_description$en$baseunit,Points,,,,,,
long_indicator_description$de$text,"Dieser Indikator basiert auf dem Eco-Innovation Scoreboard des Eco-Innovation Observatory, einem EU Projekt. Das Scorebord ist ein Index um die Innovationsleistung in den EU Mitgliedsländern zu bewerten und zu vergleichen. Der Index beruht auf Einzelindikatoren aus fünf Themenbereichen: Ressourcen für Umweltinnovation, Maßnahmen der Umweltinnovation, Ergebnisse im Bereich Umweltinnovation, Ergebnisse im Bezug auf Ressourceneffizienz sowie sozio-ökonomische Ergebnisse. Jeder dieser Bereiche wird mit Punkten bewertet. ",,,,,,
long_indicator_description$de$baseunit,points,,,,,,
target,,,,,,,
target$type,more,,,,,,
target$value,130,,,,,,
target$rating,"130,115,100,85",,,,,,
target$explanation$de,"Für die Bewertung jeder Variable (Einzelindikator) des Eco-Innovation Scoreboard wird der EU-Durchschnittswert bei 100 festgelegt. So haben Länder über dem EU-Durchschnitt einen Wert über 100. Wegen dieser Berechnung kann man die Leistung einzelner Länder nicht in verschiedenen Jahren vergleichen, was die Festlegung eines Zielwertes erschwert. Trotzdem haben wir einen Optimalwert festgelegt, der sich an den Vorreiterländern in der EU im Jahr 2015 orientiert. ",,,,,,
target$explanation$en,"For each variable, the EU average is set at a score of 100, so that all countries above the mean score higher than 100 and vice versa. Therefore, this index does not serve for individual countries' comparisons over time, which makes setting a target difficult. Nevertheless, the optimal value is set according to the highest scores across Europe in 2015. ",,,,,,
target$target_reference,,,,,,,
target$tags,ecologic,,,,,,
target$target,,,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$other_relevant_SDGs,8,,,,,,
scoring,,,,,,,
scoring$timestamp,28/10/2016,,,,,,
scoring$type,national,,,,,,
scoring$timestamp_data_host,2015,,,,,,
source,,,,,,,
source$type,inofficial,,,,,,
source$note,,,,,,,
source$publisher,Eco-Innovation observatory,,,,,,
source$link,http://database.eco-innovation.eu/indicators/view/269/1,,,,,,
source$value,OKF,,,,,,
source$maintainer,OKF,,,,,,
source$license,"Eurostat has a policy of encouraging free re-use of its data, both for non-commercial and commercial purposes.",,,,,,
countries,,,,,,,2017
,2015,2014,2013,2012,2011,2010,
EU27,,,0,100,100,100,
EU28,100,100,100,,,,
Austria,108,106,106,112,125,131,
Belgium,97,96,101,118,115,114,
Bulgaria,49,49,38,80,67,58,
Croatia,67,87,57,0,0,0,
Cyprus,60,59,43,74,71,64,
Czech Republic,99,92,71,90,91,73,
Denmark,167,185,129,136,138,155,
Estonia,80,74,72,78,74,56,
Finland,140,135,138,150,149,156,
France,115,112,108,96,99,96,
Germany,129,134,132,120,123,139,
Greece,72,72,66,67,59,55,
Hungary,81,79,61,73,83,70,
Ireland,134,136,95,113,118,101,
Italy,106,99,95,92,90,98,
Latvia,75,72,52,71,77,60,
Lithuania,73,71,66,53,52,45,
Luxembourg,124,188,109,108,130,94,
Malta,64,57,67,72,82,66,
Netherlands,98,96,91,111,109,110,
Poland,59,63,42,54,50,54,
Portugal,102,99,79,84,81,72,
Romania,82,76,63,78,67,52,
Slovakia,72,68,47,54,52,48,
Slovenia,96,91,74,115,109,75,
Spain,106,107,110,118,128,101,
Sweden,124,123,138,134,142,128,
UK,106,100,122,101,105,103,
