sponsor,,,,,,,
original_title,Wastewater Treatment (WASTECXN) - Percentage of anthropogenic wastewater that receives treatment (%),,,,,,
original_indicator_code,WASTECXN,,,,,,
title,Abwasseraufbereitung,,,,,,
sdg,6,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Beschreibt den Anteil des anthropogenen Abwassers das aufbereitet wird.,,,,,,
short_indicator_description$en,Share of wastewater that receives treatment.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Ungereinigtes Abwasser kann die Ökosysteme schädigen. Abwasser ist hier definiert als Wasser von Badewannen, Waschbecken, Waschmaschinen und Haushaltsgeräten (graues Wasser), Wasser aus Toiletten (schwarzes Wasser) und Wasser aus der Industrie, das chemische Verunreinigungen beinhalten kann. Die Reinigung von Abwasser ist kritisch für ein nachhaltiges Umweltmanagement. Die hier genutzte Indikator wurde von dem Yale Center for Environmental Law & Policy (YCELP) entwickelt. Er beruht auf Daten von Umweltstatistiken nationaler Behörden, OECD Daten, der UN Statistikbehörde (UNSD), der UN Organisation für Ernährung und Landwirtschaft (FAO), Beiträgen des Pinsent Masons Water Yearbook sowie auf Expertenrat der im Rahmen des Yale Environmental Performance Index eingeholt wurde. Mehr englischsprachige Informationen sind hier erhältlich: http://epi.yale.edu/our-methods/water-resources. (Source EPI).",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"Untreated sewage can disrupt the functioning of downstream ecosystems. Wastewater is comprised of domestic grey-water (water from baths, sinks, washing machines, and kitchen appliances) and black-water (water from toilets), as well industrial wastewater that may have additional chemical contaminants. The practice of water treatment is vital for the health of aquatic systems, provides health benefits for local residents, and ensures that clean water is available for re-use. Good wastewater management is especially relevant for areas facing more significant impacts of climate change and rapid population growth, since such areas may face more constrained water resources in the future. This indicator was developed by the Yale Center for Environmental Law & Policy (YCELP). It is based on data from national statistical offices, OECD data, the UN Statistical Organisation (UNSD), the UN organisation for food and agriculture (FAO), contributions of the Pinsent Masons Water Yearbook as well as expert advise. More information is available here: http://epi.yale.edu/our-methods/water-resources. (Source EPI).",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"80,60,40,20",,,,,,
target$baseunit,,,,,,,
target$tags,ecologic,,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,100,,,,,,
target$type,more,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,29/10/2015,,,,,,
scoring$timestamp_data_host,2015,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,This indicator tracks how well countries treat wastewater from households and industrial sources before it is dumped into the enviroment. It tracks the performance of basic wastewater management.,,,,,,
source$publisher,"Yale Environmental Performance Index, Malik, O. (2013). Global database of National Wastewater Treatment. New Haven, CT: Yale Center for Environmental Law & Policy., Enviromental performance Index, EPI 2014",,,,,,
source$link,http://epi.yale.edu/our-methods/water-resources,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2015,2011,2012,2013,2014,2016,2017
Australia,92.33333333,,,,,,
Austria,79.05,,,,,,
Belgium,60.00445643,,,,,,
Brazil,10.86877778,,,,,,
Canada,80.41994883,,,,,,
Chile,68.84842939,,,,,,
China,18.17991224,,,,,,
Croatia,13.23291786,,,,,,
Czech Republic,75.68236485,,,,,,
Denmark,93.45,,,,,,
Estonia,75.2707438,,,,,,
Finland,84.25,,,,,,
France,83.79913333,,,,,,
Germany,95.18054,,,,,,
Greece,87.33333333,,,,,,
Hungary,58.61916667,,,,,,
Iceland,51.94285714,,,,,,
India,10.48760329,,,,,,
Ireland,87.46558333,,,,,,
Israel,88.40317333,,,,,,
Italy,91.43759552,,,,,,
Japan,71.26,,,,,,
Latvia,49.625,,,,,,
Lithuania,45.82,,,,,,
Luxembourg,95,,,,,,
Mexico,37.4474987,,,,,,
Netherlands,98.81818182,,,,,,
New Zealand,77.9,,,,,,
Norway,77.05334267,,,,,,
Poland,60.72727273,,,,,,
Portugal,70.33058163,,,,,,
Russia,21.5,,,,,,
Slovakia,57.63513333,,,,,,
Slovenia,53.99189621,,,,,,
South Africa,27.85875,,,,,,
South Korea,83.68,,,,,,
Spain,92.8272,,,,,,
Sweden,87.85714286,,,,,,
Switzerland,96.95,,,,,,
Turkey,48.93152727,,,,,,
UK,97.927095,,,,,,
USA,63.665,,,,,,
