sponsor,,,,,,,
original_title,"Annual freshwater withdrawals, total (billion cubic meters) ",,,,,,
original_indicator_code,ER.H2O.FWTL.K3,,,,,,
title,Frischwasserverbrauch,,,,,,
sdg,6,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Jährlicher Frischwasserverbrauch in Milliarden Kubikmeter,,,,,,
short_indicator_description$en,Annual freshwater withdrawal in cubic meters per capita,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Jährlicher Frischwasserverbrauch ist der vollumfängliche Wasserverbrauch in Milliarden Kubikmeter für landwirtschaftlichen, industriellen sowie privaten Verbrauch. Verdunstungen in Sammelbecken bleiben ungezählt. Der Verbrauch beinhaltet auch Wasser von Entsalzungsanlagen in Ländern wo diese eine wesentliche Wasserquelle sind. Der Verbrauch kann 100 Prozent der erneuerbaren Quellen übersteigen wo  der Verbrauch auf nichterneuerbare Grundwasserschichten oder Entsalzungsanlagen zurückgeht.",,,,,,
long_indicator_description$de$baseunit,Liter / Jahr,,,,,,
long_indicator_description$en$text,"Annual freshwater withdrawals refer to total water withdrawals in cubic meter per capita, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"200,400,600,800",,,,,,
target$baseunit,,,,,,,
target$tags,ecologic,,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,200,,,,,,
target$breakpoints_old,"A) Wertung 1-5,1,2,3,4,5 B) Methode,200,400,600,800,1000",,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,02/10/2015,,,,,,
scoring$timestamp_data_host,2013,,,,,,
scoring$type,global,,,,,,
source,,,,,,,
source$note,"Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.",,,,,,
source$publisher,World Bank,,,,,,
source$link,http://data.worldbank.org/indicator/ER.H2O.FWTL.K3,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2013,2011,2012,2014,2015,2016,2017
Australia,961.229993,,,,,,
Austria,428.4965057,,,,,,
Belgium,553.7537081,,,,,,
Bosnia and Herzegovina,86.18083726,,,,,,
Brazil,363.1151168,,,,,,
Bulgaria,846.7691102,,,,,,
Canada,1187.380486,,,,,,
Chile,1994.635146,,,,,,
China,406.151275,,,,,,
Croatia,148.3807006,,,,,,
Cyprus,159.4926746,,,,,,
Czech Republic,161.6468609,,,,,,
Denmark,117.0303029,,,,,,
Estonia,1367.188243,,,,,,
Finland,299.0704291,,,,,,
France,477.5935087,,,,,,
Germany,399.3101454,,,,,,
Greece,864.3205625,,,,,,
Hungary,567.8549674,,,,,,
Iceland,503.679916,,,,,,
India,587.5125211,,,,,,
Ireland,171.2655811,,,,,,
Israel,237.8488917,,,,,,
Italy,740.3435745,,,,,,
Japan,708.2413684,,,,,,
Latvia,210.0132087,,,,,,
Lithuania,811.7916665,,,,,,
Luxembourg,108.2589727,,,,,,
Macedonia,495.2725083,,,,,,
Malta,126.1101908,,,,,,
Mexico,640.4232287,,,,,,
Netherlands,629.5173133,,,,,,
New Zealand,1053.950374,,,,,,
Norway,572.1822845,,,,,,
Poland,314.7738777,,,,,,
Portugal,813.9540364,,,,,,
Romania,345.3368353,,,,,,
Russia,460.2989736,,,,,,
Serbia,575.0811987,,,,,,
Slovakia,126.9722687,,,,,,
Slovenia,456.7897283,,,,,,
South Africa,231.4731099,,,,,,
South Korea,505.1170619,,,,,,
Spain,699.4995884,,,,,,
Sweden,269.9814388,,,,,,
Switzerland,319.1607951,,,,,,
Turkey,528.1016728,,,,,,
UK,201.9830112,,,,,,
USA,1500.358832,,,,,,
